DATE,CUST_ID,PROD_ID
2018-01-01 00:10:36,1299,8
2018-01-01 00:39:56,418,34
2018-01-01 00:56:50,1110,34
2018-01-01 00:57:37,1360,67
2018-01-01 01:05:06,154,33
2018-01-01 01:07:01,953,43
2018-01-01 01:08:04,469,5
2018-01-01 01:18:11,1051,50
2018-01-01 01:27:10,1466,50
2018-01-01 01:35:32,653,33
2018-01-01 01:35:42,800,35
2018-01-01 01:36:31,161,27
2018-01-01 01:43:17,688,70
2018-01-01 01:43:55,412,78
2018-01-01 01:44:15,735,69
2018-01-01 02:14:48,972,84
2018-01-01 02:17:55,1398,19
2018-01-01 02:28:45,1181,1
2018-01-01 02:45:03,1272,69
2018-01-01 03:09:49,1306,70
2018-01-01 03:26:10,586,48
2018-01-01 03:38:48,1050,73
2018-01-01 03:40:36,1121,36
2018-01-01 03:58:21,216,1
2018-01-01 04:08:58,707,55
2018-01-01 04:25:51,182,22
2018-01-01 04:35:57,203,1
2018-01-01 04:36:07,1261,69
2018-01-01 04:49:21,847,1
2018-01-01 04:55:32,554,8
2018-01-01 04:58:33,993,33
2018-01-01 05:02:48,348,2
2018-01-01 05:21:18,675,33
2018-01-01 06:00:28,1058,9
2018-01-01 06:02:03,1301,11
2018-01-01 06:23:58,1065,2
2018-01-01 06:35:30,536,51
2018-01-01 07:32:39,1151,52
2018-01-01 07:34:02,893,33
2018-01-01 07:37:08,1467,33
2018-01-01 07:45:36,575,1
2018-01-01 07:54:42,909,7
2018-01-01 07:54:43,1415,54
2018-01-01 08:28:58,1444,31
2018-01-01 08:36:53,1029,53
2018-01-01 08:37:33,33,70
2018-01-01 08:39:28,398,45
2018-01-01 08:46:12,951,11
2018-01-01 09:05:24,1015,55
2018-01-01 09:13:47,238,2
2018-01-01 09:23:28,113,73
2018-01-01 09:39:58,192,69
2018-01-01 09:50:29,150,30
2018-01-01 09:53:52,1254,35
2018-01-01 09:59:25,203,33
2018-01-01 10:07:15,1131,77
2018-01-01 10:09:18,467,53
2018-01-01 10:10:55,1011,75
2018-01-01 10:28:58,661,69
2018-01-01 10:34:09,287,1
2018-01-01 10:38:08,789,34
2018-01-01 10:39:39,1336,50
2018-01-01 10:41:19,134,63
2018-01-01 10:55:59,12,48
2018-01-01 11:06:44,348,3
2018-01-01 11:08:36,238,76
2018-01-01 11:25:38,1380,3
2018-01-01 11:46:44,996,17
2018-01-01 11:57:44,684,8
2018-01-01 11:59:12,637,34
2018-01-01 12:07:02,1303,69
2018-01-01 12:12:11,711,28
2018-01-01 12:21:12,690,58
2018-01-01 12:35:49,1414,9
2018-01-01 12:35:49,923,35
2018-01-01 12:36:00,759,81
2018-01-01 12:44:28,1240,24
2018-01-01 12:49:08,1308,20
2018-01-01 12:53:43,979,81
2018-01-01 13:22:01,545,62
